# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-5.00000E+02	-4.99986E+02	1.00000E+04	4.54454E-11	1.29400E-14	7.77340E+06	2.99711E+04	-2.05146E-04
-5.00000E+02	-4.99986E+02	1.00000E+05	4.60887E-11	6.37495E-16	3.09373E+06	4.57957E+03	-2.05146E-04
-5.00000E+02	-4.99986E+02	1.00000E+06	4.60456E-11	2.52507E-15	2.35576E+05	1.02482E+03	-2.05146E-04
-5.10000E+02	-5.09992E+02	1.00000E+04	4.54539E-11	6.25351E-15	7.73656E+06	3.06501E+04	-2.09881E-04
-5.10000E+02	-5.09992E+02	1.00000E+05	4.60892E-11	6.67533E-16	3.08488E+06	2.34199E+03	-2.09881E-04
-5.10000E+02	-5.09992E+02	1.00000E+06	4.60437E-11	3.24617E-15	2.35445E+05	7.46741E+02	-2.09881E-04
-5.20000E+02	-5.19983E+02	1.00000E+04	4.54561E-11	8.85008E-15	7.74743E+06	4.40337E+04	-2.14378E-04
-5.20000E+02	-5.19983E+02	1.00000E+05	4.60892E-11	7.95990E-16	3.08285E+06	2.37960E+03	-2.14378E-04
-5.20000E+02	-5.19983E+02	1.00000E+06	4.60407E-11	3.80600E-15	2.34939E+05	8.74204E+02	-2.14378E-04
-5.30000E+02	-5.29988E+02	1.00000E+04	4.54488E-11	4.26099E-15	7.75318E+06	2.56290E+04	-2.18558E-04
-5.30000E+02	-5.29988E+02	1.00000E+05	4.60886E-11	6.79412E-16	3.08942E+06	3.23677E+03	-2.18558E-04
-5.30000E+02	-5.29988E+02	1.00000E+06	4.60415E-11	3.47759E-15	2.35108E+05	1.00385E+03	-2.18558E-04
-5.40000E+02	-5.39996E+02	1.00000E+04	4.54592E-11	8.39514E-15	7.76069E+06	4.02446E+04	-2.22696E-04
-5.40000E+02	-5.39996E+02	1.00000E+05	4.60881E-11	4.45421E-16	3.08761E+06	3.79250E+03	-2.22696E-04
-5.40000E+02	-5.39996E+02	1.00000E+06	4.60419E-11	2.20218E-15	2.34220E+05	1.20371E+03	-2.22696E-04
-5.50000E+02	-5.49985E+02	1.00000E+04	4.54494E-11	1.07870E-14	7.73495E+06	3.54103E+04	-2.26941E-04
-5.50000E+02	-5.49985E+02	1.00000E+05	4.60893E-11	4.27083E-16	3.09080E+06	2.94443E+03	-2.26941E-04
-5.50000E+02	-5.49985E+02	1.00000E+06	4.60419E-11	1.50652E-15	2.35655E+05	7.84059E+02	-2.26941E-04
-5.60000E+02	-5.59993E+02	1.00000E+04	4.54622E-11	6.28554E-15	7.74274E+06	2.12576E+04	-2.31199E-04
-5.60000E+02	-5.59993E+02	1.00000E+05	4.60892E-11	2.85657E-16	3.08834E+06	1.80407E+03	-2.31199E-04
-5.60000E+02	-5.59993E+02	1.00000E+06	4.60434E-11	3.62624E-15	2.35343E+05	1.03201E+03	-2.31199E-04
-5.70000E+02	-5.69999E+02	1.00000E+04	4.54459E-11	9.62601E-15	7.74420E+06	3.68128E+04	-2.35296E-04
-5.70000E+02	-5.69999E+02	1.00000E+05	4.60879E-11	5.70614E-16	3.08403E+06	5.38022E+03	-2.35296E-04
-5.70000E+02	-5.69999E+02	1.00000E+06	4.60472E-11	3.77062E-15	2.35080E+05	1.00515E+03	-2.35296E-04
-5.80000E+02	-5.79987E+02	1.00000E+04	4.54559E-11	1.37984E-14	7.70067E+06	4.10483E+04	-2.39614E-04
-5.80000E+02	-5.79987E+02	1.00000E+05	4.60884E-11	4.58694E-16	3.08423E+06	4.36600E+03	-2.39614E-04
