# Single CV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       3.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-3.90000E+02	-3.89987E+02	1.00000E+03	5.74207E+05	5.54278E+01	-2.09038E+06	4.58694E+01	7.61367E-11	7.07949E-11	-1.49127E-04
-3.90000E+02	-3.89987E+02	1.00000E+04	1.21147E+04	1.33626E+00	-2.51392E+05	4.89898E-01	6.33094E-11	6.31627E-11	-1.49127E-04
-4.00000E+02	-3.99977E+02	5.00000E+02	1.47458E+06	2.50791E+02	-3.62006E+06	2.63742E+02	8.79295E-11	7.54162E-11	-1.52312E-04
-4.00000E+02	-3.99977E+02	1.00000E+03	5.71973E+05	9.99780E+01	-2.10204E+06	6.85857E+01	7.57147E-11	7.04951E-11	-1.52312E-04
-4.00000E+02	-3.99977E+02	1.00000E+04	1.18161E+04	1.16790E+00	-2.51466E+05	8.00000E-01	6.32909E-11	6.31515E-11	-1.52312E-04
-4.10000E+02	-4.09983E+02	5.00000E+02	1.47970E+06	3.24530E+02	-3.64409E+06	2.56718E+02	8.73495E-11	7.49859E-11	-1.55535E-04
-4.10000E+02	-4.09983E+02	1.00000E+03	5.70054E+05	3.53802E+01	-2.11364E+06	7.49933E+01	7.52991E-11	7.01933E-11	-1.55535E-04
-4.10000E+02	-4.09983E+02	1.00000E+04	1.15239E+04	2.21684E+00	-2.51536E+05	7.48331E-01	6.32732E-11	6.31406E-11	-1.55535E-04
-4.20000E+02	-4.19984E+02	5.00000E+02	1.48512E+06	3.13522E+02	-3.66713E+06	4.05739E+02	8.68007E-11	7.45705E-11	-1.58807E-04
-4.20000E+02	-4.19984E+02	1.00000E+03	5.68070E+05	7.28906E+01	-2.12548E+06	6.55439E+01	7.48795E-11	6.98873E-11	-1.58807E-04
-4.20000E+02	-4.19984E+02	1.00000E+04	1.12277E+04	7.93473E-01	-2.51606E+05	1.78885E+00	6.32556E-11	6.31299E-11	-1.58807E-04
-4.30000E+02	-4.29974E+02	5.00000E+02	1.49051E+06	4.46112E+02	-3.69085E+06	3.87711E+02	8.62430E-11	7.41501E-11	-1.62035E-04
-4.30000E+02	-4.29974E+02	1.00000E+03	5.66189E+05	2.75202E+01	-2.13739E+06	5.42586E+01	7.44621E-11	6.95797E-11	-1.62035E-04
-4.30000E+02	-4.29974E+02	1.00000E+04	1.09345E+04	2.20635E+00	-2.51673E+05	7.48331E-01	6.32388E-11	6.31197E-11	-1.62035E-04
-4.40000E+02	-4.39981E+02	5.00000E+02	1.49690E+06	5.16333E+02	-3.71422E+06	4.75748E+02	8.57004E-11	7.37256E-11	-1.65366E-04
-4.40000E+02	-4.39981E+02	1.00000E+03	5.64316E+05	7.90822E+01	-2.14950E+06	2.48193E+01	7.40428E-11	6.92686E-11	-1.65366E-04
-4.40000E+02	-4.39981E+02	1.00000E+04	1.06431E+04	1.52709E+00	-2.51739E+05	1.16619E+00	6.32222E-11	6.31093E-11	-1.65366E-04
-4.50000E+02	-4.49989E+02	5.00000E+02	1.50299E+06	1.94052E+02	-3.73775E+06	4.24519E+02	8.51609E-11	7.33076E-11	-1.68727E-04
-4.50000E+02	-4.49989E+02	1.00000E+03	5.62269E+05	5.54545E+01	-2.16203E+06	7.11618E+01	7.36138E-11	6.89504E-11	-1.68727E-04
-4.50000E+02	-4.49989E+02	1.00000E+04	1.03489E+04	9.62081E-01	-2.51804E+05	1.09545E+00	6.32059E-11	6.30993E-11	-1.68727E-04
-4.60000E+02	-4.59978E+02	5.00000E+02	1.50959E+06	3.13777E+02	-3.76253E+06	2.36356E+02	8.45999E-11	7.28697E-11	-1.72065E-04
-4.60000E+02	-4.59978E+02	1.00000E+03	5.60101E+05	3.45798E+01	-2.17454E+06	5.70614E+01	7.31901E-11	6.86365E-11	-1.72065E-04
-4.60000E+02	-4.59978E+02	1.00000E+04	1.00608E+04	1.39485E+00	-2.51868E+05	1.01980E+00	6.31899E-11	6.30893E-11	-1.72065E-04
-4.70000E+02	-4.69987E+02	5.00000E+02	1.51641E+06	2.61044E+02	-3.78693E+06	2.99466E+02	8.40549E-11	7.24395E-11	-1.75459E-04
