# Single CV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       3.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-4.60000E+02	-4.59979E+02	1.00000E+04	2.13511E+02	1.91919E+00	-3.65121E+05	2.63818E+00	4.35897E-11	4.35897E-11	-1.11157E-04
-4.70000E+02	-4.69986E+02	5.00000E+02	1.78861E+04	5.96004E+02	-7.29124E+06	8.99978E+02	4.36565E-11	4.36562E-11	-1.13665E-04
-4.70000E+02	-4.69986E+02	1.00000E+03	5.01681E+03	1.11144E+02	-3.64782E+06	5.44059E+01	4.36302E-11	4.36301E-11	-1.13665E-04
-4.70000E+02	-4.69986E+02	1.00000E+04	2.14013E+02	1.20007E+00	-3.65123E+05	1.74356E+00	4.35895E-11	4.35894E-11	-1.13665E-04
-4.80000E+02	-4.79995E+02	5.00000E+02	1.75872E+04	5.61026E+02	-7.29181E+06	3.76755E+02	4.36531E-11	4.36528E-11	-1.16226E-04
-4.80000E+02	-4.79995E+02	1.00000E+03	5.08906E+03	1.66620E+02	-3.64783E+06	8.97552E+01	4.36301E-11	4.36300E-11	-1.16226E-04
-4.80000E+02	-4.79995E+02	1.00000E+04	2.13754E+02	1.52675E+00	-3.65122E+05	1.35647E+00	4.35896E-11	4.35896E-11	-1.16226E-04
-4.90000E+02	-4.89979E+02	5.00000E+02	1.73826E+04	7.02077E+02	-7.29228E+06	9.86517E+02	4.36503E-11	4.36500E-11	-1.18838E-04
-4.90000E+02	-4.89979E+02	1.00000E+03	5.11165E+03	1.40016E+02	-3.64770E+06	1.31970E+02	4.36316E-11	4.36315E-11	-1.18838E-04
-4.90000E+02	-4.89979E+02	1.00000E+04	2.12056E+02	1.28834E+00	-3.65123E+05	2.48193E+00	4.35894E-11	4.35894E-11	-1.18838E-04
-5.00000E+02	-4.99987E+02	5.00000E+02	1.74793E+04	4.34189E+02	-7.29224E+06	1.08455E+03	4.36505E-11	4.36503E-11	-1.21473E-04
-5.00000E+02	-4.99987E+02	1.00000E+03	5.08956E+03	9.28973E+01	-3.64784E+06	7.70973E+01	4.36299E-11	4.36298E-11	-1.21473E-04
