# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-5.30000E+02	-5.29990E+02	1.00000E+05	4.48346E-11	3.31059E-16	4.19440E+06	2.00570E+03	-1.42811E-04
-5.30000E+02	-5.29990E+02	1.00000E+06	4.47444E-11	6.68132E-16	2.27566E+05	1.05792E+02	-1.42811E-04
-5.40000E+02	-5.39999E+02	1.00000E+04	4.43444E-11	1.86932E-14	3.49082E+07	1.00035E+06	-1.46327E-04
-5.40000E+02	-5.39999E+02	1.00000E+05	4.48350E-11	2.22711E-16	4.19368E+06	2.14104E+03	-1.46327E-04
-5.40000E+02	-5.39999E+02	1.00000E+06	4.47446E-11	5.84466E-16	2.27607E+05	8.66926E+01	-1.46327E-04
-5.50000E+02	-5.49987E+02	1.00000E+04	4.43394E-11	1.06884E-14	3.50037E+07	1.51679E+06	-1.49870E-04
-5.50000E+02	-5.49987E+02	1.00000E+05	4.48348E-11	1.93907E-16	4.19478E+06	1.24112E+03	-1.49870E-04
-5.50000E+02	-5.49987E+02	1.00000E+06	4.47446E-11	5.46260E-16	2.27616E+05	3.72269E+01	-1.49870E-04
-5.60000E+02	-5.59996E+02	1.00000E+04	4.43388E-11	6.25409E-15	3.48225E+07	5.79545E+05	-1.53568E-04
-5.60000E+02	-5.59996E+02	1.00000E+05	4.48346E-11	8.00000E-17	4.19335E+06	1.73344E+03	-1.53568E-04
-5.60000E+02	-5.59996E+02	1.00000E+06	4.47445E-11	6.72309E-16	2.27566E+05	1.01328E+02	-1.53568E-04
-5.70000E+02	-5.69999E+02	1.00000E+04	4.43402E-11	1.42336E-14	3.41750E+07	7.54432E+05	-1.57135E-04
-5.70000E+02	-5.69999E+02	1.00000E+05	4.48349E-11	1.01980E-16	4.19375E+06	2.11833E+03	-1.57135E-04
-5.70000E+02	-5.69999E+02	1.00000E+06	4.47446E-11	6.00000E-16	2.27522E+05	9.99108E+01	-1.57135E-04
-5.80000E+02	-5.79986E+02	1.00000E+04	4.43452E-11	1.00504E-14	3.50239E+07	1.02403E+06	-1.60953E-04
-5.80000E+02	-5.79986E+02	1.00000E+05	4.48350E-11	1.93907E-16	4.19437E+06	1.79016E+03	-1.60953E-04
-5.80000E+02	-5.79986E+02	1.00000E+06	4.47443E-11	6.93974E-16	2.27524E+05	1.13790E+02	-1.60953E-04
-5.90000E+02	-5.89995E+02	1.00000E+04	4.43442E-11	4.98702E-15	3.44328E+07	9.58917E+05	-1.64904E-04
-5.90000E+02	-5.89995E+02	1.00000E+05	4.48350E-11	1.62481E-16	4.19308E+06	1.48231E+03	-1.64904E-04
-5.90000E+02	-5.89995E+02	1.00000E+06	4.47446E-11	4.79166E-16	2.27619E+05	1.28474E+02	-1.64904E-04
-6.00000E+02	-6.00001E+02	1.00000E+04	4.43384E-11	1.72259E-14	3.53966E+07	1.20364E+06	-1.68830E-04
-6.00000E+02	-6.00001E+02	1.00000E+05	4.48347E-11	2.87054E-16	4.19547E+06	1.14231E+03	-1.68830E-04
-6.00000E+02	-6.00001E+02	1.00000E+06	4.47445E-11	6.69328E-16	2.27602E+05	8.96094E+01	-1.68830E-04
