# Interpad R
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# Voltage Delay:                       2.00 s
# 
# 
# 
# Bias Voltage[V]	Interpad Voltage [V]	Interpad Current Mean [A]	Interpad Current Error [A]	Resistance (polynom fit) [Ohm]	Resistance (diff) [Ohm]	dR (fit) [Ohm]	Chi2 of Fit [-]	Total Current [A]	
-1.20000E+02	1.49997E+00	1.46043E-05	9.97775E-11	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
-1.20000E+02	1.99999E+00	1.46696E-05	4.18994E-11	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
-1.20000E+02	2.50003E+00	1.47331E-05	2.16487E-10	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
-1.20000E+02	2.99993E+00	1.47973E-05	8.25967E-11	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
-1.20000E+02	3.49994E+00	1.48609E-05	5.43650E-11	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
-1.20000E+02	4.00017E+00	1.49208E-05	1.14407E-10	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
-1.20000E+02	4.50002E+00	1.49806E-05	1.51731E-10	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
-1.20000E+02	4.99994E+00	1.50407E-05	9.80929E-11	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
-1.30000E+02	-2.21834E-06	1.51168E-05	5.43650E-11	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.30000E+02	4.99980E-01	1.51817E-05	6.48074E-11	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.30000E+02	9.99995E-01	1.52491E-05	7.76030E-11	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.30000E+02	1.49997E+00	1.53152E-05	2.86744E-11	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.30000E+02	1.99999E+00	1.53762E-05	1.56418E-10	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.30000E+02	2.50005E+00	1.54408E-05	2.24549E-10	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.30000E+02	2.99995E+00	1.55060E-05	2.12341E-10	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.30000E+02	3.49993E+00	1.55700E-05	5.18545E-11	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.30000E+02	4.00016E+00	1.56323E-05	9.03081E-11	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.30000E+02	4.49999E+00	1.56930E-05	7.34847E-11	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.30000E+02	4.99991E+00	1.57521E-05	1.53695E-10	7.79155E+06	7.88912E+06	4.76070E+04	2.92308E+04	-6.98274E-05
-1.40000E+02	-5.75383E-08	1.58125E-05	3.19618E-10	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
-1.40000E+02	4.99980E-01	1.58793E-05	1.17757E-10	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
-1.40000E+02	9.99994E-01	1.59453E-05	1.55778E-10	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
-1.40000E+02	1.49997E+00	1.60094E-05	1.03387E-10	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
-1.40000E+02	1.99999E+00	1.60723E-05	1.53261E-10	7.95882E+06	7.89772E+06	4.06447E+04	8.95199E+03	-7.33055E-05
